Name	ScopeViewControl	
File	C:\Users\sfsyunus\Documents\LAMP_KB\SAT_Scope\Noise_axes_disabled.csv	
Starttime of export	132356782966350000	Wednesday, June 3, 2020	10:18:16.635
Endtime of export	132356783290270000	Wednesday, June 3, 2020	10:18:49.027


Name	ActPos(2)	Name	SetPos(2)	Name	PosDiff(2)	Name	ActPos(5)	Name	SetPos(5)	Name	PosDiff(5)
SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16643	IndexGroup	16643	IndexGroup	16643	IndexGroup	16646	IndexGroup	16646	IndexGroup	16646
IndexOffset	65538	IndexOffset	10	IndexOffset	131087	IndexOffset	65538	IndexOffset	10	IndexOffset	131087
SymbolName	Axes.M2K4 rY.ActPos	SymbolName	Axes.M2K4 rY.SetPos	SymbolName	Axes.M2K4 rY.PosDiff	SymbolName	Axes.M3K4 rX.ActPos	SymbolName	Axes.M3K4 rX.SetPos	SymbolName	Axes.M3K4 rX.PosDiff
NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1
Port	501	Port	501	Port	501	Port	501	Port	501	Port	501
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0


0	14396,545272000018	0	14396,620144000015	0	0	0	-11786,235140000004	0	-11786,229986000006	0	0
2	14396,545272000018	2	14396,620144000015	2	0	2	-11786,248025000008	2	-11786,229986000006	2	0
4	14396,545272000018	4	14396,620144000015	4	0	4	-11786,255756000013	4	-11786,229986000006	4	0
6	14396,582708000031	6	14396,620144000015	6	0	6	-11786,248025000008	6	-11786,229986000006	6	0
8	14396,646884000016	8	14396,620144000015	8	0	8	-11786,284103000013	8	-11786,229986000006	8	0
10	14396,59875200002	10	14396,620144000015	10	0	10	-11786,240294000003	10	-11786,229986000006	10	0
12	14396,550620000024	12	14396,620144000015	12	0	12	-11786,240294000003	12	-11786,229986000006	12	0
14	14396,620144000015	14	14396,620144000015	14	0	14	-11786,281526000006	14	-11786,229986000006	14	0
16	14396,593404000014	16	14396,620144000015	16	0	16	-11786,240294000003	16	-11786,229986000006	16	0
18	14396,529228000029	18	14396,620144000015	18	0	18	-11786,253179000007	18	-11786,229986000006	18	0
20	14396,55596800003	20	14396,620144000015	20	0	20	-11786,237717000011	20	-11786,229986000006	20	0
22	14396,668276000011	22	14396,620144000015	22	0	22	-11786,217101000002	22	-11786,229986000006	22	0
24	14396,561316000007	24	14396,620144000015	24	0	24	-11786,273795000001	24	-11786,229986000006	24	0
26	14396,55596800003	26	14396,620144000015	26	0	26	-11786,273795000001	26	-11786,229986000006	26	0
28	14396,588056000008	28	14396,620144000015	28	0	28	-11786,258333000005	28	-11786,229986000006	28	0
30	14396,593404000014	30	14396,620144000015	30	0	30	-11786,258333000005	30	-11786,229986000006	30	0
32	14396,593404000014	32	14396,620144000015	32	0	32	-11786,250602	32	-11786,229986000006	32	0
34	14396,55596800003	34	14396,620144000015	34	0	34	-11786,219678000009	34	-11786,229986000006	34	0
36	14396,620144000015	36	14396,620144000015	36	0	36	-11786,248025000008	36	-11786,229986000006	36	0
38	14396,652232000022	38	14396,620144000015	38	0	38	-11786,26606400001	38	-11786,229986000006	38	0
40	14396,668276000011	40	14396,620144000015	40	0	40	-11786,248025000008	40	-11786,229986000006	40	0
42	14396,566664000013	42	14396,620144000015	42	0	42	-11786,263487000004	42	-11786,229986000006	42	0
44	14396,577360000025	44	14396,620144000015	44	0	44	-11786,273795000001	44	-11786,229986000006	44	0
46	14396,459704000008	46	14396,620144000015	46	0	46	-11786,258333000005	46	-11786,229986000006	46	0
48	14396,588056000008	48	14396,620144000015	48	0	48	-11786,24287100001	48	-11786,229986000006	48	0
50	14396,657580000028	50	14396,620144000015	50	0	50	-11786,229986000006	50	-11786,229986000006	50	0
52	14396,614796000009	52	14396,620144000015	52	0	52	-11786,248025000008	52	-11786,229986000006	52	0
54	14396,529228000029	54	14396,620144000015	54	0	54	-11786,224832000007	54	-11786,229986000006	54	0
56	14396,678972000023	56	14396,620144000015	56	0	56	-11786,21452400001	56	-11786,229986000006	56	0
58	14396,572012000019	58	14396,620144000015	58	0	58	-11786,209370000011	58	-11786,229986000006	58	0
60	14396,523880000023	60	14396,620144000015	60	0	60	-11786,248025000008	60	-11786,229986000006	60	0
62	14396,588056000008	62	14396,620144000015	62	0	62	-11786,211947000003	62	-11786,229986000006	62	0
64	14396,539924000012	64	14396,620144000015	64	0	64	-11786,235140000004	64	-11786,229986000006	64	0
66	14396,582708000031	66	14396,620144000015	66	0	66	-11786,224832000007	66	-11786,229986000006	66	0
68	14396,625492000021	68	14396,620144000015	68	0	68	-11786,260910000012	68	-11786,229986000006	68	0
70	14396,593404000014	70	14396,620144000015	70	0	70	-11786,255756000013	70	-11786,229986000006	70	0
72	14396,572012000019	72	14396,620144000015	72	0	72	-11786,253179000007	72	-11786,229986000006	72	0
74	14396,636188000004	74	14396,620144000015	74	0	74	-11786,248025000008	74	-11786,229986000006	74	0
76	14396,588056000008	76	14396,620144000015	76	0	76	-11786,263487000004	76	-11786,229986000006	76	0
78	14396,523880000023	78	14396,620144000015	78	0	78	-11786,253179000007	78	-11786,229986000006	78	0
80	14396,566664000013	80	14396,620144000015	80	0	80	-11786,263487000004	80	-11786,229986000006	80	0
82	14396,577360000025	82	14396,620144000015	82	0	82	-11786,263487000004	82	-11786,229986000006	82	0
84	14396,668276000011	84	14396,620144000015	84	0	84	-11786,271218000009	84	-11786,229986000006	84	0
86	14396,614796000009	86	14396,620144000015	86	0	86	-11786,24287100001	86	-11786,229986000006	86	0
88	14396,518532000016	88	14396,620144000015	88	0	88	-11786,235140000004	88	-11786,229986000006	88	0
90	14396,577360000025	90	14396,620144000015	90	0	90	-11786,248025000008	90	-11786,229986000006	90	0
92	14396,620144000015	92	14396,620144000015	92	0	92	-11786,211947000003	92	-11786,229986000006	92	0
94	14396,59875200002	94	14396,620144000015	94	0	94	-11786,258333000005	94	-11786,229986000006	94	0
96	14396,566664000013	96	14396,620144000015	96	0	96	-11786,253179000007	96	-11786,229986000006	96	0
98	14396,588056000008	98	14396,620144000015	98	0	98	-11786,258333000005	98	-11786,229986000006	98	0
100	14396,625492000021	100	14396,620144000015	100	0	100	-11786,232563000012	100	-11786,229986000006	100	0
102	14396,609448000032	102	14396,620144000015	102	0	102	-11786,255756000013	102	-11786,229986000006	102	0
104	14396,593404000014	104	14396,620144000015	104	0	104	-11786,224832000007	104	-11786,229986000006	104	0
106	14396,620144000015	106	14396,620144000015	106	0	106	-11786,258333000005	106	-11786,229986000006	106	0
108	14396,59875200002	108	14396,620144000015	108	0	108	-11786,26606400001	108	-11786,229986000006	108	0
110	14396,550620000024	110	14396,620144000015	110	0	110	-11786,278949	110	-11786,229986000006	110	0
112	14396,657580000028	112	14396,620144000015	112	0	112	-11786,235140000004	112	-11786,229986000006	112	0
114	14396,545272000018	114	14396,620144000015	114	0	114	-11786,237717000011	114	-11786,229986000006	114	0
116	14396,550620000024	116	14396,620144000015	116	0	116	-11786,258333000005	116	-11786,229986000006	116	0
118	14396,55596800003	118	14396,620144000015	118	0	118	-11786,21452400001	118	-11786,229986000006	118	0
120	14396,614796000009	120	14396,620144000015	120	0	120	-11786,229986000006	120	-11786,229986000006	120	0
122	14396,604100000026	122	14396,620144000015	122	0	122	-11786,248025000008	122	-11786,229986000006	122	0
124	14396,609448000032	124	14396,620144000015	124	0	124	-11786,248025000008	124	-11786,229986000006	124	0
126	14396,64153600001	126	14396,620144000015	126	0	126	-11786,235140000004	126	-11786,229986000006	126	0
128	14396,577360000025	128	14396,620144000015	128	0	128	-11786,250602	128	-11786,229986000006	128	0
130	14396,609448000032	130	14396,620144000015	130	0	130	-11786,235140000004	130	-11786,229986000006	130	0
132	14396,523880000023	132	14396,620144000015	132	0	132	-11786,229986000006	132	-11786,229986000006	132	0
134	14396,566664000013	134	14396,620144000015	134	0	134	-11786,24287100001	134	-11786,229986000006	134	0
136	14396,572012000019	136	14396,620144000015	136	0	136	-11786,248025000008	136	-11786,229986000006	136	0
138	14396,572012000019	138	14396,620144000015	138	0	138	-11786,229986000006	138	-11786,229986000006	138	0
140	14396,630840000027	140	14396,620144000015	140	0	140	-11786,235140000004	140	-11786,229986000006	140	0
142	14396,529228000029	142	14396,620144000015	142	0	142	-11786,24287100001	142	-11786,229986000006	142	0
144	14396,662928000005	144	14396,620144000015	144	0	144	-11786,237717000011	144	-11786,229986000006	144	0
146	14396,566664000013	146	14396,620144000015	146	0	146	-11786,196485000008	146	-11786,229986000006	146	0
148	14396,577360000025	148	14396,620144000015	148	0	148	-11786,248025000008	148	-11786,229986000006	148	0
150	14396,620144000015	150	14396,620144000015	150	0	150	-11786,258333000005	150	-11786,229986000006	150	0
152	14396,609448000032	152	14396,620144000015	152	0	152	-11786,263487000004	152	-11786,229986000006	152	0
