Name	ScopeViewControl	
File	C:\Users\sfsyunus\Documents\LAMP_KB\SAT_Scope\Noise_axes_enabled.csv	
Starttime of export	132356787770950000	Wednesday, June 3, 2020	10:26:17.095
Endtime of export	132356788145170000	Wednesday, June 3, 2020	10:26:54.517


Name	ActPos(2)	Name	SetPos(2)	Name	PosDiff(2)	Name	ActPos(5)	Name	SetPos(5)	Name	PosDiff(5)
SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2	SampleTime	2
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16643	IndexGroup	16643	IndexGroup	16643	IndexGroup	16646	IndexGroup	16646	IndexGroup	16646
IndexOffset	65538	IndexOffset	10	IndexOffset	131087	IndexOffset	65538	IndexOffset	10	IndexOffset	131087
SymbolName	Axes.M2K4 rY.ActPos	SymbolName	Axes.M2K4 rY.SetPos	SymbolName	Axes.M2K4 rY.PosDiff	SymbolName	Axes.M3K4 rX.ActPos	SymbolName	Axes.M3K4 rX.SetPos	SymbolName	Axes.M3K4 rX.PosDiff
NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1	NetID	134.79.82.176.1.1
Port	501	Port	501	Port	501	Port	501	Port	501	Port	501
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0


0	14396,55596800003	0	14396,625492000021	0	0,069523999991361052	0	-11786,240294000003	0	-11786,21452400001	0	0,025769999992917292
2	14396,625492000021	2	14396,625492000021	2	0	2	-11786,204216000013	2	-11786,21452400001	2	-0,010307999997166917
4	14396,646884000016	4	14396,625492000021	4	-0,021391999995103106	4	-11786,222255	4	-11786,21452400001	4	0,00773099999059923
6	14396,625492000021	6	14396,625492000021	6	0	6	-11786,196485000008	6	-11786,21452400001	6	-0,018039000002318062
8	14396,625492000021	8	14396,625492000021	8	0	8	-11786,222255	8	-11786,21452400001	8	0,00773099999059923
10	14396,652232000022	10	14396,625492000021	10	-0,02674000000115484	10	-11786,227409000014	10	-11786,21452400001	10	0,012885000003734604
12	14396,572012000019	12	14396,625492000021	12	0,05348000000230968	12	-11786,199062	12	-11786,21452400001	12	-0,01546200001030229
14	14396,604100000026	14	14396,625492000021	14	0,021391999995103106	14	-11786,186177000011	14	-11786,21452400001	14	-0,028346999999484979
16	14396,657580000028	16	14396,625492000021	16	-0,032088000007206574	16	-11786,201639000006	16	-11786,21452400001	16	-0,012885000003734604
18	14396,636188000004	18	14396,625492000021	18	-0,010695999982999638	18	-11786,191331000009	18	-11786,21452400001	18	-0,02319300000090152
20	14396,620144000015	20	14396,625492000021	20	0,0053480000060517341	20	-11786,222255	20	-11786,21452400001	20	0,00773099999059923
22	14396,593404000014	22	14396,625492000021	22	0,032088000007206574	22	-11786,240294000003	22	-11786,21452400001	22	0,025769999992917292
24	14396,64153600001	24	14396,625492000021	24	-0,016043999989051372	24	-11786,170715	24	-11786,21452400001	24	-0,043809000009787269
26	14396,705712000025	26	14396,625492000021	26	-0,08022000000346452	26	-11786,196485000008	26	-11786,21452400001	26	-0,018039000002318062
28	14396,604100000026	28	14396,625492000021	28	0,021391999995103106	28	-11786,217101000002	28	-11786,21452400001	28	0,0025769999920157716
30	14396,753844000021	30	14396,625492000021	30	-0,12835199999972247	30	-11786,227409000014	30	-11786,21452400001	30	0,012885000003734604
32	14396,609448000032	32	14396,625492000021	32	0,016043999989051372	32	-11786,193908000001	32	-11786,21452400001	32	-0,020616000008885749
34	14396,657580000028	34	14396,625492000021	34	-0,032088000007206574	34	-11786,204216000013	34	-11786,21452400001	34	-0,010307999997166917
36	14396,673624000017	36	14396,625492000021	36	-0,048131999996257946	36	-11786,222255	36	-11786,21452400001	36	0,00773099999059923
38	14396,609448000032	38	14396,625492000021	38	0,016043999989051372	38	-11786,222255	38	-11786,21452400001	38	0,00773099999059923
40	14396,588056000008	40	14396,625492000021	40	0,037436000013258308	40	-11786,224832000007	40	-11786,21452400001	40	0,010307999997166917
42	14396,59875200002	42	14396,625492000021	42	0,02674000000115484	42	-11786,237717000011	42	-11786,21452400001	42	0,02319300000090152
44	14396,662928000005	44	14396,625492000021	44	-0,037435999984154478	44	-11786,227409000014	44	-11786,21452400001	44	0,012885000003734604
46	14396,59875200002	46	14396,625492000021	46	0,02674000000115484	46	-11786,237717000011	46	-11786,21452400001	46	0,02319300000090152
48	14396,630840000027	48	14396,625492000021	48	-0,0053480000060517341	48	-11786,204216000013	48	-11786,21452400001	48	-0,010307999997166917
50	14396,716408000008	50	14396,625492000021	50	-0,090915999986464158	50	-11786,222255	50	-11786,21452400001	50	0,00773099999059923
52	14396,620144000015	52	14396,625492000021	52	0,0053480000060517341	52	-11786,204216000013	52	-11786,21452400001	52	-0,010307999997166917
54	14396,59875200002	54	14396,625492000021	54	0,02674000000115484	54	-11786,21452400001	54	-11786,21452400001	54	0
56	14396,588056000008	56	14396,625492000021	56	0,037436000013258308	56	-11786,229986000006	56	-11786,21452400001	56	0,015461999995750375
58	14396,625492000021	58	14396,625492000021	58	0	58	-11786,199062	58	-11786,21452400001	58	-0,01546200001030229
60	14396,652232000022	60	14396,625492000021	60	-0,02674000000115484	60	-11786,206793000005	60	-11786,21452400001	60	-0,0077310000051511452
62	14396,604100000026	62	14396,625492000021	62	0,021391999995103106	62	-11786,201639000006	62	-11786,21452400001	62	-0,012885000003734604
64	14396,625492000021	64	14396,625492000021	64	0	64	-11786,206793000005	64	-11786,21452400001	64	-0,0077310000051511452
66	14396,577360000025	66	14396,625492000021	66	0,048131999996257946	66	-11786,204216000013	66	-11786,21452400001	66	-0,010307999997166917
68	14396,662928000005	68	14396,625492000021	68	-0,037435999984154478	68	-11786,222255	68	-11786,21452400001	68	0,00773099999059923
70	14396,652232000022	70	14396,625492000021	70	-0,02674000000115484	70	-11786,227409000014	70	-11786,21452400001	70	0,012885000003734604
72	14396,545272000018	72	14396,625492000021	72	0,08022000000346452	72	-11786,229986000006	72	-11786,21452400001	72	0,015461999995750375
74	14396,630840000027	74	14396,625492000021	74	-0,0053480000060517341	74	-11786,209370000011	74	-11786,21452400001	74	-0,0051539999985834584
76	14396,636188000004	76	14396,625492000021	76	-0,010695999982999638	76	-11786,21452400001	76	-11786,21452400001	76	0
78	14396,620144000015	78	14396,625492000021	78	0,0053480000060517341	78	-11786,204216000013	78	-11786,21452400001	78	-0,010307999997166917
80	14396,64153600001	80	14396,625492000021	80	-0,016043999989051372	80	-11786,186177000011	80	-11786,21452400001	80	-0,028346999999484979
82	14396,684320000029	82	14396,625492000021	82	-0,058828000008361414	82	-11786,21452400001	82	-11786,21452400001	82	0
84	14396,561316000007	84	14396,625492000021	84	0,064176000014413148	84	-11786,211947000003	84	-11786,21452400001	84	-0,0025770000065676868
86	14396,625492000021	86	14396,625492000021	86	0	86	-11786,224832000007	86	-11786,21452400001	86	0,010307999997166917
88	14396,572012000019	88	14396,625492000021	88	0,05348000000230968	88	-11786,211947000003	88	-11786,21452400001	88	-0,0025770000065676868
90	14396,582708000031	90	14396,625492000021	90	0,042783999990206212	90	-11786,222255	90	-11786,21452400001	90	0,00773099999059923
92	14396,604100000026	92	14396,625492000021	92	0,021391999995103106	92	-11786,222255	92	-11786,21452400001	92	0,00773099999059923
94	14396,502488000027	94	14396,625492000021	94	0,12300399999367073	94	-11786,196485000008	94	-11786,21452400001	94	-0,018039000002318062
96	14396,705712000025	96	14396,625492000021	96	-0,08022000000346452	96	-11786,211947000003	96	-11786,21452400001	96	-0,0025770000065676868
98	14396,614796000009	98	14396,625492000021	98	0,010696000012103468	98	-11786,232563000012	98	-11786,21452400001	98	0,018039000002318062
100	14396,604100000026	100	14396,625492000021	100	0,021391999995103106	100	-11786,191331000009	100	-11786,21452400001	100	-0,02319300000090152
102	14396,609448000032	102	14396,625492000021	102	0,016043999989051372	102	-11786,222255	102	-11786,21452400001	102	0,00773099999059923
104	14396,700364000019	104	14396,625492000021	104	-0,074871999997412786	104	-11786,211947000003	104	-11786,21452400001	104	-0,0025770000065676868
106	14396,652232000022	106	14396,625492000021	106	-0,02674000000115484	106	-11786,21452400001	106	-11786,21452400001	106	0
108	14396,588056000008	108	14396,625492000021	108	0,037436000013258308	108	-11786,237717000011	108	-11786,21452400001	108	0,02319300000090152
110	14396,678972000023	110	14396,625492000021	110	-0,05348000000230968	110	-11786,222255	110	-11786,21452400001	110	0,00773099999059923
112	14396,636188000004	112	14396,625492000021	112	-0,010695999982999638	112	-11786,217101000002	112	-11786,21452400001	112	0,0025769999920157716
114	14396,561316000007	114	14396,625492000021	114	0,064176000014413148	114	-11786,222255	114	-11786,21452400001	114	0,00773099999059923
116	14396,646884000016	116	14396,625492000021	116	-0,021391999995103106	116	-11786,250602	116	-11786,21452400001	116	0,036077999990084209
118	14396,588056000008	118	14396,625492000021	118	0,037436000013258308	118	-11786,229986000006	118	-11786,21452400001	118	0,015461999995750375
120	14396,657580000028	120	14396,625492000021	120	-0,032088000007206574	120	-11786,229986000006	120	-11786,21452400001	120	0,015461999995750375
